評価項目（具体的行動）,評価点 (1-5)
利用者の身体的・精神的健康状態を多角的に観察・アセスメントし、問題点を的確に把握している。,5.0
医師の指示に基づき、安全かつ正確に医療処置を行い、根拠に基づいたケアを提供している。,5.0
薬の管理（保管、配薬、残薬確認）を厳密に行い、利用者への適切な服薬指導も行っている。,5.0
利用者の状態変化や医療処置を正確かつ迅速に記録し、関係者と適切に情報共有している。,4.0
標準予防策を遵守し、感染症予防のための衛生管理を徹底している。,4.0
利用者の急変や事故等の異常を早期に察知し、冷静かつ迅速に初期対応を行っている。,4.0
状況を総合的に判断し、必要に応じて医師や上長へ的確に報告・相談している。,4.0
医療行為や日常生活におけるリスクを事前に評価し、事故防止のための具体的な対策を講じている。,4.0
医療機器・設備の点検・管理を適切に行い、安全に使用できる状態を維持している。,4.0
災害や大規模な緊急事態発生時の役割を理解し、冷静かつ的確に行動できる。,4.0
利用者や家族に対し、分かりやすい言葉で健康状態やケア内容を説明し、質問や不安に寄り添い傾聴している。,3.0
医師、他職種（介護職員、理学療法士等）と円滑に連携し、情報共有や連携を通して質の高いチームケアに貢献している。,4.0
協力医療機関や専門機関と良好な関係を構築し、適切な連携を図っている。,4.0
看護に関する最新の知識・技術を継続的に学習し、日々の業務に反映させている。,4.0
看護師としての資格を維持し、研修や学会等に積極的に参加して自己のスキルアップに努めている。,4.0
利用者の人権、プライバシー、自己決定権を尊重し、倫理的な判断に基づいた看護を提供している。,4.0
医療法、保健師助産師看護師法など関係法令や施設の規定を遵守し、適切に業務を遂行している。,4.0
介護職員等に対し、医療的ケアや健康管理に関する適切な指導・助言を行い、知識共有に貢献している。,4.0
看護チームの一員として、積極的かつ協力的な態度で業務に取り組み、チームの円滑な運営に貢献している。,4.0
