評価項目（具体的行動）,評価点 (1-5)
業務指示を正確に理解し、疑問点は確認しながら、確実に業務を遂行している。,5.0
伝票処理、データ入力、書類作成において、誤りなく正確に処理・作成している。,5.0
業務の優先順位を判断し、定められた納期を遵守し、効率的に業務を進めている。,5.0
既存のマニュアルを理解し活用するとともに、改善点があれば提案している。,5.0
経理・会計業務において、関係法令や施設規定に基づき適正な処理を行っている。,5.0
必要な情報を正確かつ効率的に収集・整理し、活用しやすい状態にしている。,5.0
利用者・職員の個人情報や施設の機密情報について、厳重な管理と保護を徹底している。,5.0
書類やデータのファイリング、バックアップなど、適切な方法で管理・保管している。,5.0
"PCスキル（Word, Excel等）や業務システムを習熟し、業務効率化に貢献している。",5.0
業務の進捗、課題、緊急事態などを、適切なタイミングで上司や関係部署に報告・連絡・相談している。,5.0
来客や電話に対し、丁寧で分かりやすい言葉遣いと態度で対応し、適切な案内や取り次ぎを行っている。,5.0
他部署からの依頼や問い合わせに対し、迅速かつ的確に対応し、円滑な連携を図っている。,5.0
業者、行政、金融機関など外部関係者と良好な関係を築き、必要な調整を適切に行っている。,5.0
業務上の非効率な点や改善できる機会を自ら発見し、課題として認識している。,5.0
発見した課題に対し、具体的な改善策を検討・提案し、実行に協力している。,5.0
自身の業務ミスや課題に対し、原因を分析し、再発防止策を考え、次へと活かしている。,5.0
業務の依頼者（職員、利用者、外部関係者）のニーズを理解し、期待に応えようと努めている。,5.0
事務業務が、利用者支援や施設運営にどのように貢献するかを理解し、サポート意識を持って業務に取り組んでいる。,5.0
自身の業務計画を立て、進捗を管理し、目標達成に向けて主体的に取り組んでいる。,5.0
自身の心身の健康状態を適切に管理し、ストレスをコントロールしながら業務を遂行している。,5.0
