評価項目（具体的行動）,評価点 (1-5)
法人・施設のビジョンを明確に示し、部下やチームに浸透させ、具体的な目標設定に落とし込んでいる。,3.0
施設全体の業務フローを把握し、効率化・最適化に向けた改善を継続的に推進している。,2.0
人員、予算、設備等の経営資源を適切に配分・管理し、最大限の成果を引き出している。,2.0
事故・災害等のリスクを予測し、予防策を講じ、発生時には迅速かつ適切に指揮・対応している。,3.0
部下の強みと課題を見極め、適切な指導・育成計画を立て、個々の成長を最大限に引き出している。,3.0
チーム内のコミュニケーションを促進し、協力体制を構築することで、組織全体のパフォーマンス向上に貢献している。,2.0
部下の意欲を高め、主体性を引き出すための声がけや環境づくりを積極的に行っている。,3.0
部下の公正な評価と建設的なフィードバックを定期的に行い、能力開発に繋げている。,3.0
介護保険制度、地域社会、競合他社など外部環境の変化を的確に分析し、将来を見据えた戦略立案に貢献している。,2.0
利用者のニーズや社会情勢の変化を捉え、新たな事業やサービスの企画・提案を積極的に行っている。,2.0
行政、医療機関、地域住民、他事業所等と良好な関係を構築・維持し、連携強化に努めている。,2.0
施設の魅力を積極的に発信し、地域の信頼と理解を得るための広報・ブランディング活動を推進している。,2.0
介護保険法、労働基準法など関係法令や内部規定を深く理解し、遵守を徹底している。,2.0
利用者・職員の人権を最大限に尊重し、差別やハラスメントの防止、適切な苦情対応に努めている。,4.0
個人情報保護の重要性を認識し、情報管理体制の徹底とリスク対策を講じている。,3.0
多角的な情報に基づき、論理的かつ迅速に判断し、適切な意思決定を行っている。,3.0
予期せぬ困難な問題や複雑な事案に対し、冷静沈着に対処し、粘り強く解決に導いている。,3.0
環境や状況の変化に対し、柔軟かつ迅速に適応し、新たな課題にも積極的に取り組んでいる。,3.0
自身の役割に求められる専門知識・スキルを継続的に習得し、自己成長に努めている。,3.0
自身の心身の健康状態を適切に管理し、ストレスをコントロールしながら業務を遂行している。,4.0
