評価項目（具体的行動）,評価点 (1-5)
食材の適切な保管、調理器具・設備の洗浄・消毒を徹底し、食中毒予防に努めている。,5.0
ユニフォーム着用、手洗い、マスク着用など、徹底した個人衛生管理を行っている。,5.0
調理過程や配膳時の温度管理、検食を正確に実施し、記録している。,5.0
調理機器の安全な操作、転倒防止など、厨房内の危険を予知し、安全に配慮した行動をとっている。,5.0
食物アレルギーや誤嚥のリスクを正確に把握し、個別の配慮を徹底している。,5.0
指示された調理手順を正確に理解し、効率的かつ安全に調理を行っている。,4.0
献立に基づき、利用者に合わせた適切な味付けと、食欲をそそる盛り付けを心がけている。,4.0
食材ごとの下処理や調理法を理解し、素材の味や栄養を最大限に引き出している。,4.0
新しい調理法や献立にも意欲的に取り組み、改善提案を行っている。,4.0
食材の無駄をなくし、コスト削減に貢献するため、適切に管理・利用している。,4.0
献立の栄養バランスを理解し、提供する食事を通じて利用者の健康維持に貢献している。,4.0
嚥下状態、嗜好、宗教・文化などの個別ニーズを理解し、可能な範囲で対応している。,4.0
定められた時間内に、温かいものは温かく、冷たいものは冷たい状態で食事を提供している。,4.0
厨房内の問題、食材の在庫、利用者の食事に関する特記事項などを適切に報告・連絡・相談している。,5.0
厨房内の他の職員と積極的に協力し、円滑な業務遂行と良好なチームワークを築いている。,4.0
支援員や看護師など、他部署からの食事に関する要望・情報に耳を傾け、連携して対応している。,5.0
自身の担当業務を効率的に計画し、時間管理を行いながら遂行している。,4.0
厨房業務の効率化や質の向上につながる改善点を常に探し、提案している。,4.0
食事提供に関する新しい知識（栄養学、衛生管理など）や調理技術を積極的に学び、自身の専門性向上に努めている。,3.0
