評価項目（具体的行動）,評価点 (1-5)
指示内容を正確に理解し、疑問点は確認しながら、確実かつ安全に業務を遂行している。,4.0
利用者に対し、明るく丁寧な挨拶を心がけ、適切な言葉遣いや態度で接している。,3.0
基本的な身体介助（移動・排泄・食事等）について、指導を受けながら実践しようと努めている。,4.0
清掃、消毒、整理整頓など、清潔で安全な環境維持に貢献している。,4.0
業務日誌や簡単な記録を、正確かつタイムリーに行おうと努力している。,4.0
業務上の疑問点や問題、進捗状況などを、適切なタイミングで上司や先輩に報告・連絡・相談している。,3.0
上司や先輩、同僚のアドバイスを素直に傾聴し、自身の行動に活かそうとしている。,4.0
チームの一員として、積極的に周囲と協力し、円滑な人間関係を築こうと努力している。,4.0
明るくはっきりとした挨拶や返事ができ、基本的な社会人マナーを身につけようとしている。,4.0
指導や助けに対して、感謝の気持ちを適切に表現している。,4.0
業務に必要な知識やスキルを、自ら積極的に学び習得しようと努めている。,4.0
指導やフィードバックの内容を理解し、改善点として真摯に受け止め、次へと活かしている。,4.0
不明な点や不安な点は、放置せず積極的に質問し、理解を深めようとしている。,3.0
自身の業務や施設の活動に対し、より良い方法がないか関心を持ち、学ぶ姿勢がある。,4.0
新しい業務や役割に、前向きな姿勢で挑戦しようとしている。,3.0
自身の担当業務の優先順位を理解し、定められた時間内で計画的に遂行しようと努めている。,3.0
施設のルールや勤務規定、守秘義務などを理解し、遵守しようと努めている。,3.0
事故やトラブルに繋がる可能性のある危険を察知し、速やかに報告・確認している。,4.0
緊急時の対応マニュアルや避難経路などを理解し、冷静に行動しようと努めている。,2.0
利用者一人ひとりの尊厳を尊重し、プライバシー保護に配慮した行動をとっている。,2.0
