評価項目（具体的行動）,評価点 (1-5)
利用者の個性・ニーズ・強みを深く理解し、個別支援計画に沿った最適な支援を提供している。,4.0
安全・安楽な介護・介助技術を習得し、状況に応じて適切に実践している。,3.0
利用者の体調変化やリスクを早期に察知し、迅速かつ適切に対応している。,4.0
利用者の興味関心を引き出し、意欲向上に繋がる活動を積極的に企画・提供し、参加を促している。,3.0
支援内容や利用者の変化を正確かつ迅速に記録し、関係者と適切に情報共有している。,4.0
利用者の思いや訴えを傾聴し、共感的な姿勢で信頼関係を構築している。,3.0
利用者の理解度に合わせて分かりやすく、かつ尊重を込めた言葉遣いや態度で接している。,3.0
他の職員や多職種と積極的に連携し、円滑な情報共有と協働を通じてチームの目標達成に貢献している。,4.0
保護者や関係機関に対し、誠実かつ丁寧に対応し、良好な関係を構築・維持している。,4.0
業務上の重要な事項を速やかに報告・連絡・相談し、問題解決に努めている。,4.0
業務上の課題や非効率な点、改善できる機会を自ら発見している。,3.0
発見した課題に対し、主体的に解決策を検討・提案し、実行に移している。,3.0
自身の支援や業務を定期的に振り返り、反省点や成功体験から学び、次へと活かしている。,3.0
チームや施設全体の業務改善に対し、積極的に意見を出し、貢献している。,3.0
自身の役割と責任を自覚し、任された業務を最後まで責任を持って遂行している。,3.0
指示を待つだけでなく、自ら考えて行動し、周囲に良い影響を与えている。,3.0
法人の理念を深く理解し、日々の支援や業務においてその実現に努めている。,3.0
専門知識・技術の習得に意欲的に取り組み、自己の成長に努めている。,3.0
研修や情報収集を通じて、新しい知識や技術を積極的に吸収し、支援に活かしている。,3.0
専門職としての高い倫理観を持ち、関係法令・規則を遵守した行動をとっている。,3.0
